Molecule Name,SMILES
CVD-0012578,Oc1nc(C(=O)c2cnc(Cl)c(Cl)c2)c(CCl)s1
CVD-0012577,OC(=O)CC(C(=O)c1nc(O)sc1CCl)c1ccccc1
CVD-0012576,OC(=O)c1cc(ccn1)C(=O)c1nc(O)sc1CCl
CVD-0012575,Oc1nc(C(=O)c2cnc3ccccc3c2)c(CCl)s1
CVD-0012574,CC(C(O)=O)C(=O)c1nc(O)sc1CCl
CVD-0012573,NC(CSCC(=O)c1nc(O)sc1CCl)C(O)=O
CVD-0012572,CC(=O)NC(CC(N)=O)C(=O)c1nc(O)sc1CCl
CVD-0012571,OC1CC(O)(CC(C1O)c1nc(O)sc1CCl)C(O)=O
CVD-0012570,OC(=O)c1cccc(n1)C(=O)c1nc(O)sc1CCl
CVD-0012569,CC(C)(C)c1cc(cc(c1)C(=O)c1nc(O)sc1CCl)C(O)=O
CVD-0012568,OC(=O)CCC(=O)CCC(=O)c1nc(O)sc1CCl
CVD-0012567,OC(=O)COCC(=O)c1nc(O)sc1CCl
CVD-0012566,NCc1[nH]cc(CCC(=O)c2nc(O)sc2CCl)c1CC(O)=O
CVD-0012565,Oc1nc(C(=O)c2cnc3ccccc3n2)c(CCl)s1
CVD-0012564,OCCNC(=O)C(=O)NCCc1nc(O)sc1CCl
CVD-0012563,CCOC(=O)CC(=O)c1nc(O)sc1CCl
CVD-0012562,CC(=O)NC(Cc1c[nH]cn1)C(=O)c1nc(O)sc1CCl
CVD-0012561,Oc1nc(C(=O)Cc2c[nH]cn2)c(CCl)s1
CVD-0012560,OC(=O)C1CC(CC(C1)C(=O)c1nc(O)sc1CCl)C(O)=O
CVD-0012559,Oc1nc(C(=O)c2cccc(O)c2)c(CCl)s1
CVD-0012558,OC(=O)CSC(=S)SCC(=O)c1nc(O)sc1CCl
CVD-0012557,OC(=O)C(C(=O)c1nc(O)sc1CCl)c1ccccc1
CVD-0012556,Oc1nc(C(=O)c2ccc3OCOc3c2)c(CCl)s1
CVD-0012555,COc1cccc(c1)C(=O)c1nc(O)sc1CCl
CVD-0012554,OC(=O)C(C(=O)c1nc(O)sc1CCl)c1ccsc1
CVD-0012553,Oc1nc(C(=O)Cc2ccccn2)c(CCl)s1
CVD-0012552,COc1ccc(OC)c(c1)C(=O)c1nc(O)sc1CCl
CVD-0012551,COc1ccc(cc1OC)C(=O)c1nc(O)sc1CCl
CVD-0012550,COc1cc(N)c(cc1OC)C(=O)c1nc(O)sc1CCl
CVD-0012549,OC(=O)c1cc(cc(c1)S(O)(=O)=O)C(=O)c1nc(O)sc1CCl
CVD-0012548,COc1cc(OC)c(cc1OC)C(=O)c1nc(O)sc1CCl
CVD-0012547,OCCOCC#CCOCCOc1csc(CCl)n1
CVD-0012546,OC(=O)COCC(=O)Oc1csc(CCl)n1
CVD-0012545,OC1CC(=CC(Oc2csc(CCl)n2)C1O)C(O)=O
CVD-0012544,OC(=O)CNCC(=O)Oc1csc(CCl)n1
CVD-0012543,OCC(CO)(COc1csc(CCl)n1)NCCS(O)(=O)=O
CVD-0012542,CCCCOC(=O)CCC(=O)Oc1csc(CCl)n1
CVD-0012541,OCC(COc1csc(CCl)n1)OCc1ccccc1
CVD-0012540,CC(N)C(Oc1csc(CCl)n1)c1ccc(O)c(O)c1
CVD-0012539,CNCC(Oc1csc(CCl)n1)c1ccc(O)c(OC)c1
CVD-0012538,OC(=O)CC(=O)CC(=O)Oc1csc(CCl)n1
CVD-0012537,CC(C(C)C(=O)Oc1csc(CCl)n1)C(O)=O
CVD-0012536,CN(CC(O)=O)CC(=O)Oc1csc(CCl)n1
CVD-0012535,CNCC(Oc1csc(CCl)n1)c1ccc(O)c(O)c1
CVD-0012534,OC(=O)CCSCCC(=O)Oc1csc(CCl)n1
CVD-0012533,OCCCCCCCCOc1csc(CCl)n1
CVD-0012532,OC(COc1csc(CCl)n1)C(O)C1OC(=O)C(O)C1O
CVD-0012531,Oc1ccc(CC(=O)Oc2csc(CCl)n2)cc1Cl
CVD-0012530,Cc1cc(CO)c(O)c(COc2csc(CCl)n2)c1
CVD-0012529,ClCc1nc(OC(=O)CNC(=O)CCc2ccco2)cs1
CVD-0012528,OCC(O)C(=O)COc1csc(CCl)n1
CVD-0012527,OCCn1c(=O)n(CCO)c(=O)n(CCOc2csc(CCl)n2)c1=O
CVD-0012526,CC(Oc1csc(CCl)n1)c1ccncc1
CVD-0012525,NC(C(Oc1csc(CCl)n1)c1ccc(O)c(O)c1)C(O)=O
CVD-0012524,OC1CC(OC1COc1csc(CCl)n1)n1cc(Cl)c(=O)[nH]c1=O
CVD-0012523,NCC(=O)NC(CCC(=O)Oc1csc(CCl)n1)C(O)=O
CVD-0012522,Oc1ccc2[nH]cc(CC(=O)Oc3csc(CCl)n3)c2c1
CVD-0012521,Oc1cccc(CC(=O)Oc2csc(CCl)n2)c1
CVD-0012520,ClCc1nc(OC(=O)CCCCC2SCC3NC(=O)NC23)cs1
CVD-0012519,COC1=CC(=O)C=C(COc2csc(CCl)n2)C1=O
CVD-0012518,CC1(C)OCC(O1)C(Oc1csc(CCl)n1)C(O)=O
CVD-0012517,OCCSCCOc1csc(CCl)n1
CVD-0012516,OC(=O)CC(C(Oc1csc(CCl)n1)C(O)=O)C(O)=O
CVD-0012515,OC(=O)CC(C1CCCCC1)C(=O)Oc1csc(CCl)n1
